,path,metal,species,energy
54,allcontcars\Ru0001\CH2CH2\atop2\VIB-0,Ru,CH2CH2,1.309470000000033
55,allcontcars\Ru0001\CH2CHCO\hcp\dyn_matr,Ru,CH2CHCO,3.354539999999986
56,allcontcars\Ru0001\CH2CHCOOH\fcc\dyn_matr,Ru,CH2CHCOOH,3.294830000000047
57,allcontcars\Ru0001\CH3C\hcp\dyn_matr,Ru,CH3C,1.2337400000000116
58,allcontcars\Ru0001\CH3CCO\1_fcc\dyn_matr,Ru,CH3CCO,3.363709999999969
59,allcontcars\Ru0001\CH3CCOO\1_hcp\dyn_matr,Ru,CH3CCOO,4.140080000000012
60,allcontcars\Ru0001\CH3CCOOH\1_hcp\dyn_matr,Ru,CH3CCOOH,3.3098000000000525
61,allcontcars\Ru0001\CH3CH\1_hcp\dyn_matr,Ru,CH3CH,1.2835900000000606
62,allcontcars\Ru0001\CH3CH2\1_fcc\dyn_matr,Ru,CH3CH2,1.1395100000000298
63,allcontcars\Ru0001\CH3CH2CO,Ru,CH3CH2CO,2.589679999999987
64,allcontcars\Ru0001\CH3CH2COO,Ru,CH3CH2COO,2.2863700000000335
65,allcontcars\Ru0001\CH3CH2COOH\1_O_atop\dyn_matr,Ru,CH3CH2COOH,2.539760000000058
66,allcontcars\Ru0001\CH3CH3\fcc,Ru,CH3CH3,0.5754600000000778
67,allcontcars\Ru0001\CH3CHCO\1_hcp\dyn_matr,Ru,CH3CHCO,3.0070200000000114
68,allcontcars\Ru0001\CH3CHCOO\dyn_matr,Ru,CH3CHCOO,3.118910000000028
69,allcontcars\Ru0001\CH3CHCOOH\dyn_matr,Ru,CH3CHCOOH,3.0457600000000298
70,allcontcars\Ru0001\CHCH\dyn_matr,Ru,CHCH,1.8088300000000572
71,allcontcars\Ru0001\CHCHCO\dyn_matr,Ru,CHCHCO,3.641200000000026
72,allcontcars\Ru0001\CHCHCOOH\dyn_matr,Ru,CHCHCOOH,3.695830000000001
73,allcontcars\Ru0001\CO\1_atop\dyn_matr,Ru,CO,1.1618399999999838
74,allcontcars\Ru0001\CO2\1_bri\dyn_matr,Ru,CO2,2.2531000000000176
75,allcontcars\Ru0001\COOH\1_bri\dyn_matr,Ru,COOH,1.6587900000000104
76,allcontcars\Ru0001\H2O\dyn_matr,Ru,H2O,-0.48428999999998723
77,allcontcars\Ru0001\OH\1_hcp\dyn_matr,Ru,OH,-0.31956000000002405
78,allcontcars\Rh111\CH2C\1_fcc\dyn_matr,Rh,CH2C,2.088990000000024
79,allcontcars\Rh111\CH2CH\1_hcp\dyn_matr,Rh,CH2CH,2.049129999999991
80,allcontcars\Rh111\CH2CH2\1_fcc_move_to_atop\dyn_matr,Rh,CH2CH2,1.4522600000000239
81,allcontcars\Rh111\CH2CHCO\1_hcp\dyn_matr,Rh,CH2CHCO,3.6177699999999504
82,allcontcars\Rh111\CH2CHCOOH\dyn_matr,Rh,CH2CHCOOH,3.812690000000032
83,allcontcars\Rh111\CH3C\1_hcp\dyn_matr,Rh,CH3C,1.2861299999999574
84,allcontcars\Rh111\CH3CCO\1_hcp\dyn_matr,Rh,CH3CCO,3.6444199999999682
85,allcontcars\Rh111\CH3CCOO\1_hcp\dyn_matr,Rh,CH3CCOO,4.515649999999994
86,allcontcars\Rh111\CH3CCOOH\1_hcp\dyn_matr,Rh,CH3CCOOH,3.6838500000000067
87,allcontcars\Rh111\CH3CH\1_hcp\dyn_matr,Rh,CH3CH,1.5193500000000313
88,allcontcars\Rh111\CH3CH2\dyn_matr,Rh,CH3CH2,1.2508100000000013
89,allcontcars\Rh111\CH3CH2CO\1_hcp\dyn_matr,Rh,CH3CH2CO,2.7294699999999352
90,allcontcars\Rh111\CH3CH2COO,Rh,CH3CH2COO,2.735019999999963
91,allcontcars\Rh111\CH3CH2COOH\1_atop\dyn_matr,Rh,CH3CH2COOH,2.7221700000000055
92,allcontcars\Rh111\CH3CH3\dyn_matr,Rh,CH3CH3,0.5622500000000059
93,allcontcars\Rh111\CH3CHCO\1_hcp\dyn_matr,Rh,CH3CHCO,3.2700799999999504
94,allcontcars\Rh111\CH3CHCOO\1_fcc\dyn_matr,Rh,CH3CHCOO,3.738339999999994
95,allcontcars\Rh111\CH3CHCOOH\1_fcc\dyn_matr,Rh,CH3CHCOOH,3.4223099999999818
96,allcontcars\Rh111\CHCH\1_bri_hcp\dyn_matr,Rh,CHCH,2.167059999999992
97,allcontcars\Rh111\CHCHCO\1_hcp\dyn_matr,Rh,CHCHCO,4.260479999999973
98,allcontcars\Rh111\CHCHCOOH\1_fcc\dyn_matr,Rh,CHCHCOOH,4.165849999999978
99,allcontcars\Rh111\CO\1_hcp\dyn_matr,Rh,CO,1.117879999999957
100,allcontcars\Rh111\CO2\dyn_matr,Rh,CO2,2.44686999999999
101,allcontcars\Rh111\COOH\dyn_matr,Rh,COOH,1.8220399999999586
102,allcontcars\Rh111\H2O\dyn_matr,Rh,H2O,-0.3681200000000331
103,allcontcars\Rh111\OH\1_fcc\dyn_matr,Rh,OH,0.18932999999992717
104,allcontcars\Ni111\ch2c\hcp,Ni,ch2c,2.473309999999998
105,allcontcars\Ni111\ch2ch\atop2,Ni,ch2ch,2.295569999999998
106,allcontcars\Ni111\ch2ch2\atop2,Ni,ch2ch2,1.614780000000053
107,allcontcars\Ni111\ch2chco\hcp1,Ni,ch2chco,4.113940000000014
108,allcontcars\Ni111\ch2chcooh\atop2,Ni,ch2chcooh,3.86939000000001
109,allcontcars\Ni111\ch3c\hcp1,Ni,ch3c,1.64127000000002
110,allcontcars\Ni111\ch3cco\hcp1,Ni,ch3cco,3.857030000000009
111,allcontcars\Ni111\ch3ccoo\hcp,Ni,ch3ccoo,4.894959999999969
112,allcontcars\Ni111\ch3ccooh\fcc,Ni,ch3ccooh,4.060850000000016
113,allcontcars\Ni111\ch3ch\hcp2,Ni,ch3ch,1.6779000000000224
114,allcontcars\Ni111\ch3ch2\hcp2,Ni,ch3ch2,1.3620000000000232
115,allcontcars\Ni111\ch3ch2co\atop,Ni,ch3ch2co,2.9842599999999777
116,allcontcars\Ni111\ch3ch2coo\atop,Ni,ch3ch2coo,2.7206199999999967
117,allcontcars\Ni111\ch3ch2cooh\atop,Ni,ch3ch2cooh,3.030620000000056
118,allcontcars\Ni111\ch3ch3\atop2,Ni,ch3ch3,0.5743400000000349
119,allcontcars\Ni111\ch3chco\hcp,Ni,ch3chco,3.6687100000000044
120,allcontcars\Ni111\ch3chcoo\atop2,Ni,ch3chcoo,4.061320000000023
121,allcontcars\Ni111\ch3chcooh\atop,Ni,ch3chcooh,3.595579999999984
122,allcontcars\Ni111\chch\atop3,Ni,chch,2.1196399999999755
123,allcontcars\Ni111\chchco\fcc,Ni,chchco,4.655920000000009
124,allcontcars\Ni111\chchcooh\hcp,Ni,chchcooh,4.438839999999971
125,allcontcars\Ni111\co\hcp,Ni,co,1.1765000000000327
126,allcontcars\Ni111\co2\atop-hcp,Ni,co2,2.4066799999999944
127,allcontcars\Ni111\cooh\atop,Ni,cooh,2.0747199999999566
128,allcontcars\Ni111\h2o,Ni,h2o,-0.310939999999988
129,allcontcars\Ni111\oh\hcp,Ni,oh,-0.1734599999999773
130,allcontcars\Re0001\CH2C\hcp,Re,CH2C,1.9432399999999461
131,allcontcars\Re0001\CH2CH\1_hcp,Re,CH2CH,1.6713799999999992
132,allcontcars\Re0001\CH2CH2\2,Re,CH2CH2,1.2100299999999606
133,allcontcars\Re0001\CH2CHCO\fcc,Re,CH2CHCO,3.1408000000001266
134,allcontcars\Re0001\CH2CHCOOH\fcc,Re,CH2CHCOOH,3.2361399999999776
135,allcontcars\Re0001\CH3C\fcc,Re,CH3C,1.3087600000000066
136,allcontcars\Re0001\CH3CCO\1_fcc,Re,CH3CCO,3.0766400000001113
137,allcontcars\Re0001\CH3CCOO\2_fcc,Re,CH3CCOO,4.209320000000048
138,allcontcars\Re0001\CH3CCOOH\1_hcp,Re,CH3CCOOH,3.335079999999948
139,allcontcars\Re0001\CH3CH\3_fcc,Re,CH3CH,1.3418199999999842
140,allcontcars\Re0001\CH3CH2\1_fcc,Re,CH3CH2,1.0218699999999217
141,allcontcars\Re0001\CH3CH2CO,Re,CH3CH2CO,2.7675700000000916
142,allcontcars\Re0001\CH3CH2COO,Re,CH3CH2COO,2.201659999999947
143,allcontcars\Re0001\CH3CH2COOH\1_O_atop,Re,CH3CH2COOH,2.5907199999999193
144,allcontcars\Re0001\CH3CH3\1_flat,Re,CH3CH3,0.5807799999998906
145,allcontcars\Re0001\CH3CHCO\3_fcc2\dyn_matr,Re,CH3CHCO,3.142600000000016
146,allcontcars\Re0001\CH3CHCOO\fcc,Re,CH3CHCOO,3.2632200000000466
147,allcontcars\Re0001\CH3CHCOOH,Re,CH3CHCOOH,3.3061799999999266
148,allcontcars\Re0001\CHCH\3,Re,CHCH,1.3088299999999435
149,allcontcars\Re0001\CHCHCO\1,Re,CHCHCO,3.4752899999999727
150,allcontcars\Re0001\CHCHCOOH,Re,CHCHCOOH,3.5261600000000044
151,allcontcars\Re0001\CO\3_fcc,Re,CO,1.2436000000001286
152,allcontcars\Re0001\CO2\1_bri,Re,CO2,2.1364399999999932
153,allcontcars\Re0001\COOH\1_bri,Re,COOH,1.7536400000000185
154,allcontcars\Re0001\H2O\3,Re,H2O,-0.4664500000000089
155,allcontcars\Re0001\OH\1_hcp,Re,OH,-0.5845199999999977
156,allcontcars\Ag111\ch2c\3_fcc_used,Ag,ch2c,4.695725950000011
157,allcontcars\Ag111\ch2ch\1_fcc,Ag,ch2ch,3.6636859500000014
158,allcontcars\Ag111\ch2ch2\4_pos_used,Ag,ch2ch2,2.3023359499999856
159,allcontcars\Ag111\ch2chco\2_hcp,Ag,ch2chco,5.777365950000018
160,allcontcars\Ag111\ch2chcooh\5_top_used,Ag,ch2chcooh,4.6477559500000325
161,allcontcars\Ag111\ch3c\4_pos,Ag,ch3c,4.492295949999999
162,allcontcars\Ag111\ch3cco\2_pos,Ag,ch3cco,5.46206595000001
163,allcontcars\Ag111\ch3ccoo\4_pos_used,Ag,ch3ccoo,6.862255950000019
164,allcontcars\Ag111\ch3ccooh\2_hcp_used,Ag,ch3ccooh,5.642975950000022
165,allcontcars\Ag111\ch3ch\3_pos_used,Ag,ch3ch,3.590855949999991
166,allcontcars\Ag111\ch3ch2\others\pos_4_used,Ag,ch3ch2,2.1464359500000114
167,allcontcars\Ag111\ch3ch2co\4_pos,Ag,ch3ch2co,4.1329059500000085
168,allcontcars\Ag111\ch3ch2coo\1_pos_used,Ag,ch3ch2coo,3.363995950000003
169,allcontcars\Ag111\ch3ch2cooh\1_pos_used,Ag,ch3ch2cooh,3.1488159499999995
170,allcontcars\Ag111\ch3ch3\1_pos_used,Ag,ch3ch3,0.5771059500000035
171,allcontcars\Ag111\ch3chco\1_pos,Ag,ch3chco,4.686185950000009
172,allcontcars\Ag111\ch3chcoo\3_hcp_used,Ag,ch3chcoo,5.140155950000008
173,allcontcars\Ag111\ch3chcooh\4_atop_used,Ag,ch3chcooh,4.268495949999988
174,allcontcars\Ag111\chch\2_pos_used,Ag,chch,4.788655950000006
175,allcontcars\Ag111\chchco\1_pos_used,Ag,chchco,6.828055950000035
176,allcontcars\Ag111\chchcooh\1_pos_used,Ag,chchcooh,5.954525950000004
177,allcontcars\Ag111\co\4_atop_used,Ag,co,2.879185949999993
178,allcontcars\Ag111\co2\3_pos_used,Ag,co2,2.3620559500000127
179,allcontcars\Ag111\cooh\2_bridge_used,Ag,cooh,3.099795950000015
180,allcontcars\Ag111\h2o\2_atop_used,Ag,h2o,-0.16588404999997408
181,allcontcars\Ag111\oh\1_fcc_used,Ag,oh,0.5716059500000057
182,allcontcars\Cu111\ch2c\2_fcc,Cu,ch2c,3.68575697
183,allcontcars\Cu111\ch2ch\others\pos_4_used,Cu,ch2ch,3.1172169700000154
184,allcontcars\Cu111\ch2ch2\3_hcp+fcc,Cu,ch2ch2,2.170536970000029
185,allcontcars\Cu111\ch2chco\others\pos_4_used,Cu,ch2chco,5.301756970000042
186,allcontcars\Cu111\ch2chcooh\5_bri_used,Cu,ch2chcooh,4.549846970000033
187,allcontcars\Cu111\ch3c\1_pos_used,Cu,ch3c,3.1629469700000072
188,allcontcars\Cu111\ch3cco\5_bridge_used\run2,Cu,ch3cco,5.001456970000021
189,allcontcars\Cu111\ch3ccoo\2_hcp_used,Cu,ch3ccoo,5.705156970000047
190,allcontcars\Cu111\ch3ccooh\others\2_hcp,Cu,ch3ccooh,4.780566970000052
191,allcontcars\Cu111\ch3ch\others\pos_4,Cu,ch3ch,2.726576970000025
192,allcontcars\Cu111\ch3ch2\others\pos_3,Cu,ch3ch2,1.8534769700000027
193,allcontcars\Cu111\ch3ch2co\4_used,Cu,ch3ch2co,3.7525169700000447
194,allcontcars\Cu111\ch3ch2coo\top_1_used,Cu,ch3ch2coo,2.9241769700000475
195,allcontcars\Cu111\ch3ch2cooh\others\pos_2,Cu,ch3ch2cooh,2.9736369700000296
196,allcontcars\Cu111\ch3ch3\others\pos_1_used,Cu,ch3ch3,0.5737069699999893
197,allcontcars\Cu111\ch3chco\6_pos\run2,Cu,ch3chco,4.59311697000004
198,allcontcars\Cu111\ch3chcoo\3_hcp_used,Cu,ch3chcoo,4.459566970000026
199,allcontcars\Cu111\ch3chcooh\top_1_used,Cu,ch3chcooh,3.940156970000004
200,allcontcars\Cu111\chch\3_bridge_used,Cu,chch,3.372056970000017
201,allcontcars\Cu111\chchco\others\pos_1,Cu,chchco,5.934816970000043
202,allcontcars\Cu111\chchcooh\others\pos_4,Cu,chchcooh,5.254596970000023
203,allcontcars\Cu111\co\1_pos_used,Cu,co,2.188126970000013
204,allcontcars\Cu111\co2\others\pos_3_used,Cu,co2,2.3615269700000283
205,allcontcars\Cu111\cooh\2_bridge_used,Cu,cooh,2.6360469700000237
206,allcontcars\Cu111\h2o\top_2_used,Cu,h2o,-0.21028302999997095
207,allcontcars\Cu111\oh\1_pos_used,Cu,oh,0.04321697000003155
